,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
PROBOLINGGO,0.001,0,0,-,0.001,0,0,0,0.05,0.037,0.078,0.069,0.056,0.073,0.058,0.05,1.686,1.634,1.567,1.588,1.671,1.693,1.677,1.629,0.037,0.052,0.087,0.065,0.075,0.052,0.045,0.07,0.03,0.031,0.045,0.034,0.039,0.029,0.028
PASURUAN,-,0,0.002,0,0.001,0.001,0,0,0.061,0.067,0.062,0.085,0.07,0.092,0.069,0.094,1.525,1.5,1.54,1.569,1.541,1.508,1.485,1.558,0.056,0.063,0.069,0.053,0.072,0.07,0.067,0.087,0.041,0.04,0.043,0.038,0.048,0.039,0.036
SIDOARJO,0.001,0,0,0.003,0.001,0.001,0,0.001,0.058,0.076,0.069,0.081,0.067,0.064,0.054,0.066,1.198,1.188,1.187,1.251,1.31,1.248,1.296,1.245,0.066,0.06,0.084,0.082,0.061,0.063,0.097,0.099,0.052,0.058,0.066,0.065,0.048,0.053,0.046
MOJOKERTO,0.001,0.001,0.001,0.001,0.001,0,0.002,0.001,0.043,0.063,0.059,0.075,0.073,0.061,0.054,0.054,1.456,1.378,1.303,1.446,1.461,1.454,1.376,1.422,0.15,0.173,0.146,0.131,0.104,0.135,0.127,0.143,0.062,0.074,0.046,0.059,0.059,0.058,0.061
JOMBANG,0,0.001,0,0,0.002,0,0,0.001,0.046,0.057,0.054,0.064,0.053,0.047,0.035,0.043,1.299,1.267,1.252,1.373,1.346,1.314,1.28,1.396,0.075,0.088,0.104,0.077,0.071,0.073,0.065,0.066,0.044,0.043,0.045,0.048,0.045,0.039,0.033
NGANJUK,0,0.001,0.001,0.001,0.001,0,0,-,0.016,0.033,0.031,0.046,0.038,0.043,0.054,0.036,1.441,1.416,1.439,1.532,1.499,1.506,1.601,1.453,0.039,0.055,0.09,0.051,0.053,0.055,0.086,0.095,0.093,0.086,0.106,0.103,0.117,0.085,0.084
MADIUN,0,0.001,0,0.002,0,0.002,0,0,0.023,0.043,0.036,0.039,0.038,0.042,0.04,0.04,1.434,1.438,1.419,1.452,1.411,1.44,1.451,1.397,0.028,0.031,0.068,0.04,0.04,0.045,0.061,0.058,0.092,0.071,0.094,0.105,0.124,0.124,0.107
MAGETAN,0.001,0.003,0.001,0.001,0,0.001,0.002,0,0.032,0.059,0.052,0.061,0.059,0.049,0.059,0.048,1.327,1.284,1.346,1.449,1.356,1.408,1.371,1.367,0.018,0.039,0.039,0.038,0.033,0.026,0.042,0.036,0.044,0.068,0.071,0.064,0.074,0.075,0.065
NGAWI,-,0,0.001,0,0,0,0,0.001,0.027,0.039,0.03,0.055,0.048,0.038,0.05,0.048,1.495,1.451,1.465,1.598,1.537,1.576,1.798,1.725,0.006,0.033,0.026,0.015,0.017,0.02,0.029,0.04,0.092,0.113,0.078,0.1,0.076,0.116,0.108
BOJONEGORO,0.001,0.001,0.001,0.002,0.001,0,0,0,0.017,0.011,0.016,0.016,0.018,0.02,0.023,0.022,1.629,1.59,1.553,1.61,1.623,1.726,1.612,1.618,0.054,0.07,0.093,0.074,0.054,0.069,0.066,0.077,0.041,0.043,0.044,0.055,0.046,0.063,0.068
TUBAN,0.002,0.001,0.001,0,0.001,0.001,0,0,0.002,0.009,0.007,0.01,0.014,0.019,0.013,0.013,1.647,1.504,1.559,1.482,1.647,1.588,1.496,1.589,0.063,0.071,0.129,0.052,0.069,0.063,0.121,0.124,0.038,0.043,0.053,0.038,0.038,0.044,0.045
LAMONGAN,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.009,0.016,0.014,0.029,0.045,0.027,0.014,0.009,1.514,1.563,1.566,1.607,1.583,1.66,1.552,1.515,0.056,0.056,0.129,0.068,0.053,0.056,0.082,0.1,0.043,0.044,0.04,0.052,0.056,0.052,0.314
GRESIK,-,0,0.001,0.002,0.004,0,0.001,0.001,0.025,0.039,0.028,0.041,0.044,0.052,0.045,0.041,1.295,1.317,1.307,1.362,1.443,1.249,1.291,1.304,0.047,0.063,0.058,0.055,0.082,0.058,0.066,0.069,0.058,0.046,0.052,0.053,0.056,0.046,0.043
BANGKALAN,0.001,0,0,0,-,0,-,-,0.016,0.022,0.019,0.025,0.035,0.042,0.031,0.033,1.74,1.632,1.695,1.633,1.679,1.738,1.635,1.98,0.017,0.009,0.023,0.015,0.009,0.022,0.023,0.036,0.085,0.077,0.07,0.054,0.052,0.053,0.051
SAMPANG,0,0,0,0,0,0,-,0.001,0.005,0.006,0.006,0.004,0.003,0.007,0.004,0.006,1.848,1.853,1.868,1.929,1.909,1.904,1.891,1.943,0.012,0.006,0.012,0.004,0.009,0.006,0.007,0.006,0.058,0.056,0.078,0.063,0.072,0.064,0.073
PAMEKASAN,-,0,0,-,-,0,-,0,0.008,0.012,0.017,0.011,0.011,0.014,0.015,0.019,1.408,1.328,1.35,1.412,1.358,1.473,1.456,1.471,0.021,0.016,0.03,0.028,0.016,0.013,0.026,0.023,0.057,0.047,0.063,0.068,0.047,0.071,0.053
SUMENEP,0,0,0,0,0.001,0.001,0,0.001,0.019,0.026,0.028,0.033,0.064,0.051,0.034,0.048,1.492,1.558,1.623,1.671,1.576,1.589,1.567,1.563,0.041,0.027,0.048,0.024,0.019,0.032,0.053,0.068,0.13,0.085,0.108,0.095,0.086,0.085,0.078
KOTA KEDIRI,0,0,0,0,-,0.001,0,0,0.034,0.033,0.031,0.043,0.061,0.049,0.04,0.04,1.234,1.254,1.136,1.134,1.223,1.248,1.21,1.202,0.043,0.049,0.04,0.062,0.047,0.057,0.055,0.066,0.075,0.063,0.041,0.047,0.074,0.055,0.048
KOTA BLITAR,0,0,0,0.002,0,0,0.001,0,0.027,0.04,0.027,0.037,0.034,0.032,0.019,0.036,1.127,1.077,1.111,1.126,1.146,1.123,1.052,1.195,0.045,0.033,0.048,0.042,0.038,0.037,0.032,0.033,0.052,0.04,0.047,0.076,0.066,0.06,0.045
KOTA MALANG,0,0,0,0,0,0.002,0,0.001,0.067,0.086,0.073,0.062,0.099,0.083,0.059,0.07,1.049,1.068,1.082,1.12,1.217,1.173,1.133,1.357,0.039,0.049,0.061,0.048,0.052,0.046,0.034,0.05,0.059,0.058,0.055,0.066,0.08,0.057,0.062
KOTA PROBOLINGGO,0,0,0.001,-,-,-,0.001,0,0.084,0.108,0.081,0.091,0.086,0.066,0.05,0.083,1.517,1.487,1.416,1.491,1.493,1.488,1.516,1.512,0.054,0.051,0.055,0.065,0.074,0.048,0.049,0.073,0.039,0.037,0.031,0.038,0.045,0.029,0.024
KOTA PASURUAN,-,0,0,-,0,-,0,0,0.05,0.058,0.051,0.053,0.058,0.065,0.061,0.055,1.282,1.313,1.319,1.346,1.309,1.311,1.311,1.244,0.036,0.049,0.047,0.057,0.047,0.054,0.044,0.066,0.038,0.028,0.039,0.038,0.037,0.047,0.053
KOTA MOJOKERTO,0,0,0,-,-,0,-,0.002,0.037,0.054,0.044,0.06,0.065,0.066,0.052,0.057,1.181,1.159,1.128,1.208,1.224,1.243,1.251,1.156,0.071,0.086,0.115,0.083,0.09,0.074,0.097,0.104,0.03,0.027,0.031,0.054,0.037,0.038,0.049
KOTA MADIUN,0,0,0.001,0,0.001,0,0.001,0.002,0.05,0.045,0.055,0.07,0.068,0.055,0.065,0.056,1.102,1.077,1.126,1.126,1.174,1.169,1.105,1.134,0.045,0.047,0.057,0.053,0.049,0.035,0.046,0.046,0.048,0.057,0.053,0.057,0.066,0.052,0.048
KOTA SURABAYA,0,0,0,0,0.001,0.002,0.003,0.001,0.049,0.061,0.061,0.072,0.083,0.073,0.061,0.08,1.148,1.085,1.154,1.26,1.188,1.255,1.326,1.413,0.048,0.048,0.054,0.062,0.062,0.066,0.072,0.103,0.052,0.062,0.055,0.074,0.073,0.069,0.045
KOTA BATU,0,0.001,0,-,0.003,-,0.001,0.001,0.094,0.108,0.102,0.088,0.08,0.093,0.072,0.084,1.155,1.13,1.151,1.181,1.172,1.204,1.11,1.231,0.052,0.06,0.049,0.032,0.071,0.036,0.041,0.035,0.051,0.037,0.045,0.054,0.06,0.05,0.046
PANDEGLANG,0.003,0.001,0.001,0,0,0.002,0.001,0,0.006,0.015,0.009,0.012,0.02,0.022,0.012,0.021,2.006,1.981,1.954,2.038,2.21,2.133,1.988,1.865,0.013,0.01,0.031,0.005,0.011,0.016,0.011,0.024,0.022,0.018,0.026,0.018,0.03,0.017,0.021
LEBAK,0,0.001,0,0.003,0.005,0.002,0.001,0,0.015,0.015,0.022,0.029,0.029,0.029,0.023,0.032,2.034,1.874,1.891,1.93,1.982,1.974,2.07,1.809,0.01,0.022,0.026,0.009,0.021,0.026,0.014,0.017,0.037,0.064,0.04,0.03,0.044,0.04,0.032
TANGERANG,0,0,0,0,0.001,0.001,0.001,0,0.064,0.069,0.065,0.054,0.105,0.076,0.071,0.056,1.537,1.492,1.589,1.622,1.563,1.541,1.593,1.476,0.011,0.01,0.021,0.011,0.042,0.03,0.022,0.024,0.062,0.069,0.068,0.068,0.075,0.068,0.063
SERANG,0,0,0.001,0,0,-,-,-,0.007,0.016,0.02,0.018,0.033,0.039,0.02,0.022,1.706,1.614,1.693,1.786,1.615,1.656,1.627,1.531,0.005,0.017,0.023,0.007,0.016,0.033,0.018,0.018,0.051,0.056,0.046,0.04,0.046,0.046,0.042
KOTA TANGERANG,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.08,0.078,0.088,0.085,0.118,0.107,0.088,0.074,1.402,1.394,1.353,1.469,1.45,1.461,1.361,1.396,0.031,0.039,0.028,0.02,0.036,0.046,0.047,0.046,0.065,0.087,0.134,0.139,0.089,0.073,0.059
KOTA CILEGON,-,0,0,-,-,0,-,-,0.039,0.035,0.033,0.063,0.034,0.038,0.035,0.038,1.287,1.39,1.261,1.377,1.338,1.297,1.292,1.345,0.047,0.049,0.043,0.06,0.061,0.044,0.044,0.049,0.039,0.037,0.033,0.049,0.042,0.031,0.042
KOTA SERANG,-,0,0,-,0.001,-,0,0.001,0.024,0.023,0.034,0.04,0.043,0.034,0.028,0.028,1.4,1.475,1.404,1.581,1.566,1.531,1.507,1.486,0.021,0.028,0.05,0.028,0.017,0.034,0.037,0.035,0.044,0.057,0.049,0.053,0.051,0.051,0.037
KOTA TANGERANG SELATAN,0,0,0,0.001,0.001,0,0,0.001,0.089,0.075,0.084,0.117,0.098,0.104,0.108,0.088,1.293,1.247,1.284,1.365,1.295,1.302,1.366,1.314,0.017,0.02,0.019,0.027,0.027,0.036,0.04,0.027,0.078,0.089,0.111,0.081,0.067,0.055,0.07
JEMBRANA,-,0,0.001,0.001,0,-,-,0.001,0.018,0.013,0.013,0.011,0.016,0.015,0.012,0.019,1.914,1.929,1.786,1.962,1.848,1.963,1.949,1.932,0.039,0.019,0.046,0.029,0.057,0.049,0.049,0.052,0.109,0.118,0.116,0.093,0.112,0.102,0.108
TABANAN,0.001,0,0.001,0.001,0.002,0.001,0.001,0,0.019,0.032,0.043,0.056,0.054,0.068,0.046,0.055,1.818,1.749,1.697,1.821,1.851,1.878,1.812,1.757,0.019,0.031,0.034,0.043,0.032,0.028,0.03,0.03,0.056,0.084,0.07,0.058,0.074,0.095,0.082
BADUNG,0.001,0.003,0.001,0.001,0.004,0.006,0.003,0.001,0.031,0.059,0.056,0.037,0.053,0.056,0.069,0.089,1.512,1.549,1.521,1.597,1.734,1.651,1.635,1.568,0.024,0.04,0.035,0.048,0.044,0.061,0.089,0.09,0.088,0.07,0.071,0.056,0.05,0.062,0.064
GIANYAR,0,0,0.001,0.001,0.001,0,0,0.001,0.007,0.014,0.021,0.033,0.013,0.017,0.032,0.031,1.85,1.809,1.816,1.946,1.859,1.925,1.953,1.818,0.008,0.017,0.031,0.034,0.02,0.025,0.022,0.028,0.066,0.072,0.065,0.085,0.07,0.074,0.069
KLUNGKUNG,0.001,0.002,0.005,0.006,0.006,0.016,0,0.002,0.021,0.01,0.02,0.01,0.011,0.032,0.023,0.022,1.901,1.793,1.861,2.014,2.015,2.072,1.878,1.866,0.012,0.026,0.049,0.02,0.106,0.059,0.042,0.026,0.094,0.076,0.107,0.122,0.117,0.117,0.085
BANGLI,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.031,0.032,0.049,0.031,0.045,0.032,0.036,0.052,1.9,1.804,1.878,1.951,1.951,1.95,1.921,1.894,0.024,0.029,0.026,0.028,0.029,0.037,0.036,0.044,0.071,0.09,0.093,0.073,0.081,0.1,0.09
KARANGASEM,0.003,0.004,0.003,0.002,0.004,0.002,0.001,0,0.003,0.005,0.002,0.007,0.009,0.006,0.006,0.009,2.174,2.055,2.11,2.181,2.122,2.112,1.985,1.995,0.015,0.033,0.048,0.025,0.023,0.019,0.027,0.041,0.064,0.084,0.081,0.057,0.061,0.047,0.059
BULELENG,0.005,0.008,0.003,0.004,0.003,0,0.001,0.002,0.027,0.029,0.027,0.037,0.041,0.03,0.035,0.039,1.988,1.939,1.934,2.058,2.058,2.033,2.038,2.011,0.048,0.093,0.125,0.069,0.082,0.062,0.043,0.059,0.085,0.074,0.082,0.076,0.083,0.072,0.069
KOTA DENPASAR,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.036,0.064,0.058,0.053,0.05,0.066,0.056,0.038,1.398,1.438,1.365,1.459,1.618,1.534,1.472,1.423,0.067,0.061,0.079,0.07,0.066,0.082,0.071,0.049,0.064,0.062,0.067,0.069,0.079,0.057,0.067
LOMBOK BARAT,0.013,0.011,0.012,0.007,0.008,0.006,0.005,0.003,0.007,0.013,0.02,0.007,0.008,0.013,0.008,0.008,1.864,1.866,1.759,1.874,1.939,1.778,1.805,1.929,0.065,0.108,0.147,0.074,0.115,0.125,0.099,0.057,0.053,0.085,0.078,0.054,0.065,0.061,0.059
LOMBOK TENGAH,0.034,0.026,0.025,0.019,0.016,0.015,0.015,0.015,0.003,0.004,0.006,0.003,0.004,0.005,0.002,0.003,1.988,2.006,1.871,2.018,1.897,1.826,1.908,1.831,0.086,0.137,0.173,0.11,0.103,0.099,0.132,0.114,0.048,0.043,0.086,0.051,0.047,0.046,0.056
LOMBOK TIMUR,0.026,0.016,0.019,0.022,0.02,0.021,0.015,0.007,0.006,0.016,0.01,0.014,0.015,0.026,0.03,0.021,1.863,1.843,1.889,2.051,1.894,2.149,2.276,2.404,0.065,0.071,0.152,0.163,0.128,0.137,0.092,0.099,0.05,0.066,0.07,0.07,0.082,0.071,0.065
SUMBAWA,0.003,0.001,0,0.001,0.001,0,0.001,0.001,0.007,0.01,0.004,0.013,0.022,0.015,0.006,0.011,1.97,2.266,2.26,2.069,1.945,1.835,1.806,1.88,0.112,0.169,0.148,0.098,0.081,0.111,0.099,0.115,0.06,0.056,0.063,0.05,0.051,0.051,0.059
DOMPU,0.001,0.001,0.003,0.001,0,0,0.001,0,0.001,0,0.002,0.002,0.002,0.003,0.003,0.007,2.493,1.921,2.022,1.913,2.121,1.916,2.047,2.029,0.101,0.119,0.208,0.093,0.066,0.075,0.054,0.075,0.131,0.083,0.077,0.072,0.078,0.072,0.088
BIMA,-,0.001,0,0,0,0,0,0,0,0.004,0.001,0.001,0.004,0.002,0.004,0.001,2.021,2.032,1.973,1.881,1.809,1.896,1.872,1.993,0.17,0.215,0.17,0.163,0.11,0.116,0.144,0.093,0.087,0.083,0.081,0.065,0.072,0.061,0.055
SUMBAWA BARAT,0.003,0.001,0.003,0.003,0.002,0.001,0.001,0.002,0.006,0.005,0.02,0.016,0.028,0.019,0.014,0.017,2.046,2.028,2.01,1.954,1.924,1.976,2.021,1.774,0.06,0.112,0.127,0.073,0.096,0.082,0.12,0.086,0.07,0.072,0.053,0.048,0.051,0.051,0.051
LOMBOK UTARA,0.009,0.005,0.006,0.004,0.01,0.005,0.007,0.003,0.009,0.012,0.009,0.008,0.018,0.01,0.01,0.008,1.903,1.977,1.967,2.036,1.941,1.933,2.032,1.995,0.101,0.068,0.074,0.132,0.129,0.088,0.083,0.055,0.067,0.074,0.071,0.077,0.087,0.053,0.074
KOTA MATARAM,0.004,0.005,0.006,0.007,0.004,0.005,0.005,0.004,0.019,0.025,0.026,0.022,0.031,0.02,0.02,0.025,1.461,1.535,1.466,1.476,1.639,1.558,1.555,1.455,0.07,0.081,0.097,0.081,0.083,0.084,0.075,0.089,0.048,0.067,0.058,0.059,0.057,0.048,0.046
KOTA BIMA,-,0,0,-,0,0.001,0.001,-,0.013,0.017,0.014,0.011,0.019,0.012,0.013,0.007,1.649,1.726,1.846,1.685,1.783,1.683,1.738,1.757,0.124,0.119,0.149,0.076,0.082,0.058,0.094,0.054,0.047,0.064,0.101,0.066,0.065,0.079,0.077
SUMBA BARAT,0.001,0,0,-,-,-,-,-,0.001,0.003,0.001,0.003,0.003,0.002,0.002,0.001,1.792,1.98,1.915,1.902,1.923,1.972,2.085,1.799,0.03,0.048,0.21,0.039,0.015,0.018,0.182,0.145,0.036,0.05,0.074,0.073,0.078,0.062,0.07
SUMBA TIMUR,-,0,0,0,-,-,-,0.001,0.001,0.001,0.003,0.004,0.001,0.007,0.003,0.007,2.24,2.213,2.457,2.312,2.239,2.207,2.295,2.528,0.276,0.358,0.238,0.304,0.064,0.09,0.131,0.126,0.041,0.056,0.122,0.06,0.073,0.042,0.086
KUPANG,0,0,0,-,0,-,0.001,0,0.008,0.002,0.003,0.002,0.005,0.001,0.001,0.003,2.007,1.931,2.062,2.095,2.029,2.002,1.948,2.084,0.208,0.23,0.22,0.32,0.098,0.166,0.169,0.12,0.03,0.022,0.062,0.026,0.039,0.034,0.054
TIMOR TENGAH SELATAN,0.001,0.001,0.012,0,0,0,0,0,0.009,0.003,0.004,0.01,0.009,0.009,0.003,0.003,1.737,1.679,1.835,1.582,1.527,1.669,1.911,1.824,0.363,0.305,0.125,0.335,0.241,0.304,0.059,0.062,0.04,0.053,0.122,0.061,0.054,0.043,0.073
TIMOR TENGAH UTARA,0.003,0.003,0,0,-,-,-,-,0.008,0.005,0.004,0.005,0.002,0.003,0.009,0.009,2.265,2.144,2.229,2.076,2.023,2.027,2.067,1.863,0.474,0.547,0.047,0.479,0.119,0.19,0.128,0.112,0.045,0.088,0.157,0.061,0.055,0.051,0.126
BELU,0.001,0,0,0,0.001,0,-,0.001,0.004,0.004,0.002,0.015,0.007,0.011,0.006,0.012,1.88,1.788,1.864,1.956,1.785,2.02,2.011,1.882,0.231,0.277,0.202,0.241,0.092,0.072,0.129,0.141,0.023,0.019,0.058,0.04,0.026,0.038,0.057
ALOR,0,0.001,0,0.001,-,0,-,-,0.004,0.004,0.005,0.002,0.001,0.004,0.006,0.001,1.61,1.563,1.563,1.723,1.661,1.483,1.507,1.758,0.352,0.435,0.354,0.312,0.065,0.189,0.224,0.244,0.044,0.066,0.137,0.08,0.055,0.052,0.122
LEMBATA,0.005,0,0,-,0.001,0,-,-,0.006,0.001,0.005,0.002,0.007,0.002,0.006,0.002,1.592,1.6,1.672,1.692,1.636,1.594,1.608,1.636,0.171,0.276,0.19,0.402,0.041,0.121,0.111,0.176,0.037,0.058,0.082,0.061,0.042,0.034,0.035
FLORES TIMUR,-,0,0,-,-,-,-,0,0.003,0.004,0.006,0.001,0.005,0.009,0.003,0.009,2.105,2.104,2.065,1.924,2.154,2.216,2.365,2.198,0.074,0.155,0.134,0.11,0.083,0.078,0.155,0.064,0.026,0.037,0.056,0.057,0.033,0.047,0.043
SIKKA,0,0,0.001,-,-,-,-,-,0.007,0.004,0.008,0.009,0.004,0.001,0.002,0.009,2.002,1.932,1.954,1.957,1.917,1.899,1.862,2.033,0.122,0.218,0.212,0.195,0.041,0.074,0.069,0.104,0.044,0.037,0.049,0.032,0.042,0.034,0.048
ENDE,0.002,0,0,0.001,0.001,-,-,0,0.013,0.02,0.019,0.02,0.021,0.014,0.009,0.01,2.185,2.036,2.304,2.308,2.192,2.362,2.14,2.31,0.129,0.307,0.341,0.195,0.114,0.169,0.182,0.116,0.073,0.066,0.067,0.047,0.063,0.086,0.063
NGADA,0.005,0.001,0,0.001,0.002,0.001,0.001,-,0.004,0.005,0.03,0.011,0.008,0.016,0.021,0.014,2.349,2.026,1.967,2.169,2.007,1.813,2.202,1.863,0.223,0.388,0.256,0.148,0.069,0.075,0.244,0.118,0.057,0.052,0.081,0.039,0.092,0.051,0.103
MANGGARAI,0,0.002,0.001,0.002,0,0.001,0,0.001,0.002,0.001,0.002,0.007,0.002,0.001,0.002,0.004,2.178,2.214,2.311,2.376,2.432,2.363,2.388,2.237,0.064,0.105,0.096,0.076,0.016,0.024,0.118,0.076,0.037,0.062,0.088,0.089,0.104,0.08,0.107
ROTE NDAO,-,0,0,-,-,-,-,-,0,0.002,0.001,0.003,0.001,0.001,0.002,0.003,2.103,2.088,2.153,2.21,2.16,1.987,2.053,2.149,0.239,0.119,0.077,0.184,0.019,0.074,0.029,0.009,0.02,0.028,0.044,0.048,0.043,0.023,0.039
MANGGARAI BARAT,0.002,0.001,0,-,-,-,0,0.001,0.009,0.002,0.003,0.009,0.009,0.004,0.002,0.004,2.669,2.293,2.313,2.375,2.368,2.315,2.313,2.391,0.051,0.278,0.146,0.033,0.034,0.023,0.115,0.08,0.034,0.07,0.057,0.039,0.052,0.075,0.074
SUMBA TENGAH,0.001,0.001,0,0,0,0,-,-,-,0,0,0.001,0.002,0,0.002,0.002,1.723,1.854,2.017,1.799,1.9,1.815,2.25,2.348,0.06,0.198,0.207,0.129,0.047,0.054,0.255,0.205,0.026,0.025,0.031,0.024,0.036,0.035,0.061
SUMBA BARAT DAYA,0,0,0.002,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0.003,0.003,0.001,0.003,1.795,1.612,1.876,1.868,1.958,1.729,1.896,1.835,0.118,0.095,0.326,0.055,0.056,0.075,0.075,0.087,0.037,0.073,0.103,0.096,0.078,0.071,0.071
NAGEKEO,0.005,0,0,0.001,0.001,0,-,-,0.002,0.001,0,0.004,0.003,0,0.002,0.001,1.888,1.754,1.919,1.923,1.848,1.859,1.837,2.17,0.424,0.296,0.202,0.159,0.043,0.083,0.062,0.113,0.029,0.065,0.083,0.052,0.064,0.053,0.074
MANGGARAI TIMUR,0.009,0.001,0.001,0.001,0.003,0.003,0.001,0.004,0.001,0,0,0,-,0.001,0.001,0.001,2.629,2.484,2.527,2.607,2.563,2.739,2.654,2.74,0.082,0.153,0.253,0.092,0.068,0.057,0.18,0.212,0.037,0.082,0.075,0.067,0.084,0.074,0.066
SABU RAIJUA,0.004,0.007,0.002,0.001,0.002,0.001,0.002,0,0,0.001,0.005,0.004,0.002,0.004,0.005,0.003,2.132,2.224,2.118,2.272,2.521,2.336,2.16,2.526,0.184,0.054,0.117,0.23,0.143,0.185,0.017,0.09,0.089,0.123,0.195,0.134,0.141,0.124,0.084
MALAKA,0.001,0.001,0,0,0.001,-,-,-,-,0,0.001,0.003,0,0.003,0.002,0.006,2.001,2.088,1.989,1.799,2.193,2.07,2.167,1.743,0.329,0.203,0.014,0.326,0.23,0.151,0.023,0.029,0.053,0.047,0.168,0.098,0.104,0.106,0.104
KOTA KUPANG,0,0,0,-,-,0,-,-,0.024,0.016,0.027,0.05,0.027,0.029,0.024,0.024,1.87,1.863,1.708,1.736,1.775,1.651,1.738,1.66,0.187,0.193,0.178,0.182,0.071,0.065,0.086,0.094,0.057,0.042,0.063,0.073,0.072,0.066,0.075
SAMBAS,-,0,0,0.001,0.001,0,-,-,0.013,0.01,0.013,0.018,0.011,0.01,0.009,0.012,1.777,1.703,1.638,1.726,1.466,1.622,1.519,1.483,0.005,0.021,0.018,0.015,0.012,0.017,0.017,0.01,0.029,0.037,0.034,0.037,0.027,0.024,0.017
BENGKAYANG,0.001,0.001,0,0,-,-,0.001,-,0.009,0.014,0.009,0.01,0.017,0.017,0.011,0.011,1.779,1.727,1.783,1.751,1.832,1.942,1.814,1.747,0.021,0.008,0.009,0.023,0.018,0.022,0.018,0.015,0.033,0.033,0.036,0.036,0.054,0.04,0.045
LANDAK,0,0.01,0,0,0.001,0.001,0,-,0.006,0.011,0.008,0.014,0.013,0.012,0.01,0.012,1.942,2.026,1.925,1.923,1.927,1.982,1.992,1.862,0.011,0.017,0.014,0.012,0.022,0.015,0.01,0.004,0.041,0.035,0.041,0.048,0.066,0.046,0.04
MEMPAWAH,0,0.001,0,0.002,-,-,-,-,0.017,0.017,0.02,0.017,0.014,0.025,0.02,0.024,1.491,1.485,1.418,1.58,1.53,1.62,1.51,1.487,0.002,0.011,0.012,0.014,0.014,0.019,0.012,0.019,0.059,0.04,0.047,0.044,0.045,0.04,0.038
SANGGAU,-,0,0,0.003,0,0,0,-,0.012,0.014,0.017,0.021,0.021,0.017,0.019,0.017,1.633,1.627,1.65,1.688,1.657,1.504,1.605,1.473,0.014,0.001,0.015,0.021,0.008,0.005,0.005,0.007,0.036,0.038,0.057,0.049,0.058,0.058,0.05
KETAPANG,-,0,0,0.001,0.001,0,-,-,0.012,0.016,0.016,0.019,0.02,0.016,0.021,0.026,1.65,1.646,1.65,1.644,1.546,1.545,1.634,1.52,0.003,0.002,0.006,0.008,0.005,0.005,0.009,0.006,0.041,0.036,0.038,0.047,0.066,0.062,0.037
SINTANG,0,0,0.001,-,-,-,0,-,0.01,0.018,0.015,0.015,0.031,0.021,0.018,0.037,1.667,1.678,1.677,1.729,1.856,1.697,1.899,1.72,0.015,0.008,0.006,0.02,0.007,0.01,0.015,0.014,0.046,0.043,0.063,0.07,0.076,0.052,0.055
KAPUAS HULU,-,0.001,0,-,-,-,0.001,-,0.012,0.015,0.014,0.009,0.034,0.019,0.03,0.038,1.618,1.737,1.725,1.822,1.763,1.759,1.6,1.559,0.003,0.002,0.007,0.002,0.02,0.031,0.033,0.017,0.034,0.035,0.036,0.032,0.079,0.074,0.045
SEKADAU,0,0,0,0.003,0.002,-,-,-,0.011,0.006,0.011,0.013,0.016,0.017,0.036,0.033,1.983,1.94,1.896,1.84,1.869,1.783,1.754,1.822,0.003,0.003,0.001,0.003,0.002,0.005,0.004,0.02,0.051,0.041,0.032,0.037,0.056,0.056,0.051
MELAWI,0,0,0,-,-,-,-,-,0.013,0.019,0.019,0.016,0.029,0.028,0.02,0.022,1.94,1.888,1.851,1.852,1.705,1.739,1.663,1.757,0.017,0.007,0.006,0.012,0.017,0.005,0.011,0.007,0.046,0.035,0.041,0.056,0.067,0.051,0.038
KAYONG UTARA,-,0,0,-,-,-,-,-,0.007,0.009,0.011,0.017,0.013,0.016,0.009,0.011,1.814,1.734,1.682,1.673,1.65,1.76,1.647,1.591,0.012,0.01,0.007,0.015,0.014,0.01,0.006,0.009,0.059,0.04,0.03,0.045,0.051,0.048,0.039
