,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
KEPULAUAN MENTAWAI,0,0,0,-,0.003,0.004,-,-,0.03,0.018,0.033,0.025,0.039,0.045,0.033,0.038,1.41,1.25,1.248,1.373,1.287,1.421,1.293,1.332,-,0.005,0.002,0.002,0.005,0,0.003,0.004,0.034,0.031,0.033,0.022,0.023,0.018,0.034
PESISIR SELATAN,0,0,0,0,0,-,-,-,0.104,0.134,0.11,0.111,0.135,0.129,0.135,0.117,1.764,1.633,1.551,1.628,1.622,1.724,1.68,1.677,0.006,0.004,0.008,0.019,0.009,0.011,0.006,0.015,0.051,0.046,0.04,0.041,0.048,0.047,0.049
SOLOK,0,0,0,0,-,-,0,-,0.169,0.19,0.149,0.196,0.211,0.201,0.18,0.143,1.939,1.84,1.733,1.822,2.004,2.032,1.819,1.814,0.015,0.023,0.005,0.013,0.053,0.041,0.002,0.011,0.068,0.053,0.048,0.063,0.071,0.073,0.045
SIJUNJUNG,-,0.001,0,-,-,-,-,-,0.121,0.133,0.115,0.133,0.147,0.14,0.127,0.137,1.75,1.792,1.71,1.738,1.702,1.564,1.702,1.745,0.004,0.003,0.01,0.012,0.023,0.02,0.008,0.011,0.048,0.022,0.042,0.031,0.041,0.051,0.028
TANAH DATAR,0,0,0,0,-,-,-,0,0.112,0.128,0.12,0.121,0.121,0.12,0.112,0.109,1.558,1.551,1.527,1.552,1.656,1.679,1.577,1.58,0.009,0.015,0.026,0.004,0.008,0.004,0.007,0.015,0.049,0.045,0.048,0.048,0.054,0.063,0.035
PADANG PARIAMAN,0,0,0,0,-,-,-,0,0.108,0.104,0.097,0.095,0.116,0.108,0.093,0.081,1.446,1.488,1.46,1.504,1.521,1.445,1.402,1.435,0.008,0.017,0.008,0.014,0.003,0.004,0.003,0.005,0.078,0.072,0.069,0.07,0.072,0.057,0.055
AGAM,0,0,0,-,-,-,-,-,0.134,0.131,0.107,0.128,0.143,0.14,0.119,0.103,1.687,1.635,1.528,1.631,1.703,1.713,1.493,1.6,0.01,0.008,0.007,0.007,0.006,0.01,0.009,0.012,0.056,0.065,0.058,0.063,0.066,0.051,0.046
LIMA PULUH KOTA,0,0,0,-,-,0,-,-,0.114,0.119,0.105,0.11,0.136,0.14,0.129,0.095,1.751,1.787,1.681,1.745,1.766,1.786,1.801,1.628,0.01,0.013,0.003,0.011,0.007,0.008,0.008,0.009,0.055,0.049,0.037,0.044,0.049,0.049,0.043
PASAMAN,0.001,0.001,0,-,0,-,0,-,0.133,0.144,0.116,0.135,0.146,0.128,0.108,0.092,2.201,1.998,2.031,2.081,2.094,1.919,1.888,1.843,0.005,0.01,0.008,0.032,0.025,0.011,0.015,0.008,0.037,0.059,0.06,0.037,0.041,0.041,0.032
SOLOK SELATAN,0.002,0.001,0,0.001,0,-,0,0,0.175,0.196,0.181,0.213,0.22,0.205,0.185,0.179,1.888,1.914,1.743,1.917,1.897,1.772,1.777,1.645,0.026,0.022,0.021,0.016,0.034,0.04,0.026,0.034,0.06,0.048,0.06,0.064,0.075,0.066,0.044
